,Identifier,ETS category,Distance [nm],ECA distance [nm]
Port from,Port to,,,
Abu Dhabi,Abu Dhabi,0,0,0
Abu Dhabi,Adelaide,0,6303,269
Abu Dhabi,Alexandria,0,11751,520
Abu Dhabi,Algeciras,0.5,9926,150
Abu Dhabi,Altamira,0,12323,112
Abu Dhabi,Amsterdam,0.5,11055,565
Abu Dhabi,Antwerp,0.5,11022,532
Abu Dhabi,Aqaba,0,2829,112
Abu Dhabi,Ashdod,0,11923,2147
Abu Dhabi,Auckland,0,8156.000000000005,316
Abu Dhabi,Bahrain,0,240.4351,0
Abu Dhabi,Baltimore,0,11742,511.0000000000003
Abu Dhabi,Barcelona,0.5,10440,664
Abu Dhabi,Basseterre,0,10398,112
Abu Dhabi,Beaumont,0,12285,947.0000000000007
Abu Dhabi,Beirut,0,11927,2151
Abu Dhabi,Borusan - Gemlik,0,11722,1794
Abu Dhabi,Bremerhaven,0.5,11227,737
Abu Dhabi,Bridgetown,0,10109,112
Abu Dhabi,Brisbane,0,7236,1308
Abu Dhabi,Bristol,0,10798,112
Abu Dhabi,Brunswick,0,11686,413
Abu Dhabi,Cape of Good Hope,0,0,0
Abu Dhabi,Cartagena (Colombia),0,11030,112
Abu Dhabi,Casablanca,0,9746,112
Abu Dhabi,Castries (St. Lucia),0,10195,112
Abu Dhabi,"Charleston, SC",0,11686,317
Abu Dhabi,Corpus Christi,0,12381,343
Abu Dhabi,Dakar,0,8424,112
Abu Dhabi,Dammam,0,283,0
Abu Dhabi,Dar es Salaam,0,2650,112
Abu Dhabi,Davisville,0,11565,479.0000000000003
Abu Dhabi,Degrad des Cannes,0,9459,112
Abu Dhabi,Djen-Djen,0,10460,684
Abu Dhabi,Djibouti,0,1717,112
Abu Dhabi,Durban,0,4048.000000000003,112
Abu Dhabi,Emden,0.5,11174,686
Abu Dhabi,Ennore,0,2556,68
Abu Dhabi,Fort de France,0,10205,112
Abu Dhabi,"Freeport, Tx",0,12310,977.0000000000007
Abu Dhabi,Fremantle,0,5062,97
Abu Dhabi,Fujairah,0,260,99
Abu Dhabi,Gamagori,0,6279,138
Abu Dhabi,Georgetown (Guy),0,9841,112
Abu Dhabi,Gibraltar,0.5,9895,123.0000000000001
Abu Dhabi,Gioia Tauro,0.5,10939,1167
Abu Dhabi,Gothenburg,0.5,11458,972.0000000000007
Abu Dhabi,Habana,0,11540,202
Abu Dhabi,Halifax,0,11316,462
Abu Dhabi,Hamad Port,0,177.2904,0
Abu Dhabi,Hambantota,0,2084,68
Abu Dhabi,Hamburg,0.5,11280,794
Abu Dhabi,Hiroshima,0,6101.376500000004,138
Abu Dhabi,Hitachi,0,6488.0789,138
Abu Dhabi,Hitachinaka,0,6479.3041,138
Abu Dhabi,Hong Kong,0,4921.5255,190
Abu Dhabi,Honolulu,0,9402,431
Abu Dhabi,Immingham,0,11109,623
Abu Dhabi,Incheon,0,6035.0172,655
Abu Dhabi,Jacksonville,0,11653,383
Abu Dhabi,Jebel Ali,0,56.04290000000004,0
Abu Dhabi,Jeddah,0,2312.579200000001,112
Abu Dhabi,Kanda,0,6027.454800000001,138
Abu Dhabi,Kawasaki,0,6392.008500000002,138
Abu Dhabi,Kingston (Jam),0,11091,112
Abu Dhabi,Kingstown,0,10182,112
Abu Dhabi,Kobe,0,6183.246600000003,138
Abu Dhabi,Kuwait,0,458.4604,0
Abu Dhabi,Kuwait (Shuaiba),0,435.5711000000002,0
Abu Dhabi,Laem Chabang,0,4301.535,150
Abu Dhabi,Lagos,0,7404,112
Abu Dhabi,Larnaca,0.5,11839,2067
Abu Dhabi,Lazaro Cardenas,0,12444,138
Abu Dhabi,Le Havre,0.5,10815,329
Abu Dhabi,Lian Yun Gang,0,5951.347700000005,720
Abu Dhabi,Livorno,0.5,10787,1015.000000000001
Abu Dhabi,Longoni (Dzaoudzi),0,2770.4083,112
Abu Dhabi,Luanda,0,6480.3272,112
Abu Dhabi,Mackay,0,6744.583100000003,1063
Abu Dhabi,Manila,0,4830.549500000003,138
Abu Dhabi,Manzanillo (Pan),0,12634,158
Abu Dhabi,Maputo,0,3842.4327,112
Abu Dhabi,Masan,0,5991.2701,316
Abu Dhabi,Mazatlan,0,12093,138
Abu Dhabi,Melbourne,0,6600.046200000002,267
Abu Dhabi,Misurata,0,11081,1309
Abu Dhabi,Mizushima,0,6176,138
Abu Dhabi,Mobile,0,12052,761
Abu Dhabi,Mombasa,0,2634.5463,112
Abu Dhabi,Mumbai,0,1190.099700000001,68
Abu Dhabi,Nagoya,0,6280.565,138
Abu Dhabi,Nassau,0,11391,112
Abu Dhabi,New York,0,11613,414
Abu Dhabi,Newcastle,0,11199,713
Abu Dhabi,Newcastle (Aus),0,7129.090300000003,645
Abu Dhabi,Newport News,0,11609,382
Abu Dhabi,Ningbo,0,5567.542,602
