Port,Sequence,Sub-area,Sailing [nm],Sailing [day]
Gothenburg,1,EU-N,409.8116,1.219677380952383
Hamburg,2,EU-N,112.2317,0.3340229166666673
Bremerhaven,3,EU-N,100.2565,0.2983824404761911
Emden,4,EU-N,337.6076,1.004784523809526
Newcastle,5,EU-N,138.408,0.4119285714285721
Immingham,6,EU-N,204.4811,0.6085747023809536
Amsterdam,7,EU-N,71.4496,0.2126476190476194
Rotterdam,8,EU-N,118.7402,0.3533934523809531
Antwerp,9,EU-N,60.92360000000001,0.1813202380952385
Zeebrugge,10,EU-N,192.9129,0.574145535714287
Le Havre,11,EU-N,106.8402,0.3179767857142863
Southampton,12,EU-N,358.8727,1.068073511904764
Bristol,13,EU-N,567.2271,1.688175892857146
Santander,14,EU-N,386.2322,1.149500595238097
Vigo,15,EU-N,5438,14.6182795698925
Cape of Good Hope,16,AF-S,313,0.931547619047621
Port Elizabeth,17,AF-S,386.7749,1.151115773809526
Durban,18,AF-S,4245.931700000001,11.41379489247314
Fremantle,19,N-W,1344.0297,3.612983064516135
Adelaide,20,N-W,500.5896,1.489850000000003
Melbourne,21,N-E,543.0482000000001,1.616214880952384
Port Kembla,22,N-E,106.4062,0.3166851190476196
Newcastle (Aus),23,N-E,1293.7509,3.477825000000005
Auckland,24,N-E,1020.2666,2.742652150537639
Noumea,25,N-E,809.2383,2.175371774193552
Brisbane,26,N-E,547.646,1.629898809523812
Mackay,27,N-E,3490.7652,9.383777419354855
Taichung,28,FE,369.0608,1.09839523809524
Zhoushan,29,FE,28.9786,0.08624583333333351
Ningbo,30,FE,219.2238,0.6524517857142871
Shanghai,31,FE,40.69240000000001,0.1211083333333336
Taicang,32,FE,372.9956,1.110105952380955
Lian Yun Gang,33,FE,100.6363,0.2995127976190483
Qingdao,34,FE,430.2202,1.280417261904764
Tianjinxingang,35,FE,453.9748000000001,1.351115476190479
Incheon,36,FE,395.2234000000001,1.176260119047622
Masan,37,FE,44.15740000000001,0.1314208333333336
Pusan,38,FE,120.7627,0.3594127976190483
Shimonoseki,39,FE,17.6331,0.05247946428571439
Kanda,40,FE,108.3393,0.3224383928571435
Hiroshima,41,FE,102,0.3035714285714292
Mizushima,42,FE,85,0.252976190476191
Kobe,43,FE,14.6273,0.04353363095238104
Sakaisenboku,44,FE,234.1098,0.6967553571428585
Yokkaichi,45,FE,15.9127,0.04735922619047628
Nagoya,46,FE,50.58630000000001,0.1505544642857146
Toyohashi,47,FE,13.2578,0.03945773809523817
Gamagori,48,FE,93.1786,0.2773172619047625
Omaezaki,49,FE,113.8417,0.338814583333334
Kawasaki,50,FE,12.8054,0.0381113095238096
Yokohama,51,FE,163.0122,0.4851553571428581
Hitachinaka,52,FE,26.2851,0.07822946428571444
Hitachi,53,FE,0,0
