Port,Sequence,Sub-area,Sailing [nm],Sailing [day]
Gothenburg,1,EU-N,409.8116,1.219677380952383
Hamburg,2,EU-N,112.2317,0.3340229166666673
Bremerhaven,3,EU-N,100.2565,0.2983824404761911
Emden,4,EU-N,337.6076,1.004784523809526
Newcastle,5,EU-N,138.408,0.4119285714285721
Immingham,6,EU-N,204.4811,0.6085747023809536
Amsterdam,7,EU-N,71.4496,0.2126476190476194
Rotterdam,8,EU-N,118.7402,0.3533934523809531
Antwerp,9,EU-N,60.92360000000001,0.1813202380952385
Zeebrugge,10,EU-N,192.9129,0.574145535714287
Le Havre,11,EU-N,106.8402,0.3179767857142863
Southampton,12,EU-N,358.8727,1.068073511904764
Bristol,13,EU-N,567.2271,1.688175892857146
Santander,14,EU-N,386.2322,1.149500595238097
Vigo,15,EU-N,2881.8199,7.746827688172056
New York,16,US-E,194.4591,0.5787473214285725
WilmingtonDe,17,US-E,72.4382,0.2155898809523814
Baltimore,18,US-E,9.3173,0.02773005952380958
Sparrows Point,19,US-E,150.8413,0.4489324404761913
Newport News,20,US-E,411.1763,1.223738988095241
CharlestonSC,21,US-E,94.69800000000001,0.2818392857142863
Savannah,22,US-E,93.72990000000001,0.2789580357142863
Brunswick,23,US-E,78.5367,0.233740178571429
Jacksonville,24,US-E,298.5109,0.8884252976190494
Port Everglades,25,US-E,706.3202000000001,1.898710215053767
Mobile,26,US-E,396.2505,1.179316964285717
Port Arthur,27,US-E,23.2548,0.06921071428571443
Beaumont,28,US-E,134.9454,0.4016232142857151
FreeportTx,29,US-E,144.4704,0.4299714285714295
Corpus Christi,30,US-E,356.5717000000001,1.06122529761905
Altamira,31,CA,235.3011,0.7003008928571443
Veracruz,32,CA,967.0455,2.599584677419359
Puerto Santo Tomas de Castilla,33,CA,625.723,1.68205107526882
Habana,34,CA,380.1759,1.131475892857145
Nassau,35,CA,579.8675,1.725796130952384
Port-au-Prince,36,CA,280.0446,0.833466071428573
Kingston (Jam),37,CA,420.9136,1.25271904761905
Rio Haina,38,CA,16.2237,0.04828482142857152
Santo Domingo,39,CA,232.7096,0.6925880952380966
San Juan (Pue),40,CA,100.4272,0.2988904761904768
Road Town,41,CA,97.7403,0.2908937500000006
Philipsburg,42,CA,58.67260000000001,0.1746208333333337
Basseterre,43,CA,67.7354,0.2015934523809528
St John's (Ant),44,CA,114.3004,0.3401797619047626
Pointe à Pitre,45,CA,67.7808,0.2017285714285718
Roseau,46,CA,60.8982,0.1812446428571432
Fort de France,47,CA,44.05650000000001,0.131120535714286
Castries (St. Lucia),48,CA,67.7305,0.2015788690476195
Kingstown,49,CA,106.0691,0.3156818452380958
Bridgetown,50,CA,692.8404000000002,1.862474193548391
Degrad des Cannes,51,CA,234.7123,0.6985485119047632
Paramaribo,52,CA,535.285,1.593110119047622
Port of Spain,53,CA,109.223,0.325068452380953
St. George's,54,CA,427.5331,1.272419940476193
Willemstad,55,CA,75.73650000000002,0.2254062500000005
Oranjestad,56,CA,272.9745,0.8124241071428587
Santa Marta,57,CA,131.2082,0.390500595238096
Cartagena (Colombia),58,CA,280.1112,0.8336642857142874
Manzanillo (Pan),59,CA,37.2311,0.1108068452380954
Panama Canal,60,CA,1583.6837,4.257214247311835
Lazaro Cardenas,61,CA,462.4073000000001,1.376212202380955
Mazatlan,62,CA,5723.381200000001,15.38543333333336
Auckland,63,N-E,1020.2666,2.742652150537639
Noumea,64,N-E,1596.5276,4.291740860215061
Melbourne,65,N-E,543.0482000000001,1.616214880952384
Port Kembla,66,N-E,106.4062,0.3166851190476196
Newcastle (Aus),67,N-E,439.2664,1.307340476190479
Brisbane,68,N-E,547.646,1.629898809523812
Mackay,69,N-E,3490.7652,9.383777419354855
Taichung,70,FE,369.0608,1.09839523809524
Zhoushan,71,FE,28.9786,0.08624583333333351
Ningbo,72,FE,219.2238,0.6524517857142871
Shanghai,73,FE,40.69240000000001,0.1211083333333336
Taicang,74,FE,372.9956,1.110105952380955
Lian Yun Gang,75,FE,100.6363,0.2995127976190483
Qingdao,76,FE,430.2202,1.280417261904764
Tianjinxingang,77,FE,453.9748000000001,1.351115476190479
Incheon,78,FE,395.2234000000001,1.176260119047622
Masan,79,FE,44.15740000000001,0.1314208333333336
Pusan,80,FE,120.7627,0.3594127976190483
Shimonoseki,81,FE,17.6331,0.05247946428571439
Kanda,82,FE,108.3393,0.3224383928571435
Hiroshima,83,FE,102,0.3035714285714292
Mizushima,84,FE,85,0.252976190476191
Kobe,85,FE,14.6273,0.04353363095238104
Sakaisenboku,86,FE,234.1098,0.6967553571428585
Yokkaichi,87,FE,15.9127,0.04735922619047628
Nagoya,88,FE,50.58630000000001,0.1505544642857146
Toyohashi,89,FE,13.2578,0.03945773809523817
Gamagori,90,FE,93.1786,0.2773172619047625
Omaezaki,91,FE,113.8417,0.338814583333334
Kawasaki,92,FE,12.8054,0.0381113095238096
Yokohama,93,FE,163.0122,0.4851553571428581
Hitachinaka,94,FE,26.2851,0.07822946428571444
Hitachi,95,FE,0,0
