Port,Sequence,Sub-area,Sailing [nm],Sailing [day]
Hitachi,1,FE,26.2851,0.07822946428571444
Hitachinaka,2,FE,163.0122,0.4851553571428581
Yokohama,3,FE,12.8054,0.0381113095238096
Kawasaki,4,FE,113.8417,0.338814583333334
Omaezaki,5,FE,93.1786,0.2773172619047625
Gamagori,6,FE,13.2578,0.03945773809523817
Toyohashi,7,FE,50.58630000000001,0.1505544642857146
Nagoya,8,FE,15.9127,0.04735922619047628
Yokkaichi,9,FE,234.1098,0.6967553571428585
Sakaisenboku,10,FE,14.6273,0.04353363095238104
Kobe,11,FE,85,0.252976190476191
Mizushima,12,FE,102,0.3035714285714292
Hiroshima,13,FE,108.3393,0.3224383928571435
Kanda,14,FE,17.6331,0.05247946428571439
Shimonoseki,15,FE,120.7627,0.3594127976190483
Pusan,16,FE,44.15740000000001,0.1314208333333336
Masan,17,FE,395.2234000000001,1.176260119047622
Incheon,18,FE,453.9748000000001,1.351115476190479
Tianjinxingang,19,FE,430.2202,1.280417261904764
Qingdao,20,FE,100.6363,0.2995127976190483
Lian Yun Gang,21,FE,372.9956,1.110105952380955
Taicang,22,FE,40.69240000000001,0.1211083333333336
Shanghai,23,FE,219.2238,0.6524517857142871
Ningbo,24,FE,28.9786,0.08624583333333351
Zhoushan,25,FE,369.0608,1.09839523809524
Taichung,26,FE,387.2507,1.152531845238097
Hong Kong,27,SEA,636.7762000000001,1.711763978494627
Manila,28,SEA,1411.9718,3.795623118279576
Laem Chabang,29,SEA,797.4695,2.143735215053767
Singapore,30,SEA,3322.0957,8.930364784946253
Port Louis,31,AF-E,135.8781,0.404399107142858
Port Reunion,32,AF-E,406.2509,1.209080059523812
Tamatave,33,AF-E,680.8956000000001,1.830364516129036
Longoni (Dzaoudzi),34,AF-E,628.2009000000002,1.688712096774197
Mombasa,35,AF-E,180.4458,0.5370410714285724
Dar es Salaam,36,AF-E,1367.6905,3.676587365591404
Maputo,37,AF-E,339.1619000000001,1.009410416666669
Durban,38,AF-S,386.7749,1.151115773809526
Port Elizabeth,39,AF-S,313,0.931547619047621
Cape of Good Hope,40,AF-S,5716,15.36559139784949
Alexandria,41,MD,258.5285,0.769430059523811
Ashdod,42,MD,140.7874,0.4190101190476198
Beirut,43,MD,110.6657,0.329362202380953
Larnaca,44,MD,760.7522,2.045032795698928
Borusan - Gemlik,45,MD,365.4981,1.087791964285717
Piraeus,46,MD,564.7397,1.68077291666667
Misurata,47,MD,226.4641,0.6740002976190489
Valletta,48,MD,175.6932,0.5228964285714296
Gioia Tauro,49,MD,423.4734000000001,1.260337500000003
Livorno,50,MD,463.7351,1.380163988095241
Djen-Djen,51,MD,322.923,0.961080357142859
Barcelona,52,MD,156.8974,0.4669565476190486
Sagunto,53,MD,19.5779,0.05826755952380964
Valencia,54,MD,391.289,1.164550595238098
Algeciras,55,MD,4.9131,0.01462232142857146
Gibraltar,56,MD,34.057,0.1013601190476193
Tangier,57,MD,170.8863,0.5085901785714295
Casablanca,58,MD,556.5235,1.656319940476194
Vigo,59,EU-N,386.2322,1.149500595238097
Santander,60,EU-N,567.2271,1.688175892857146
Bristol,61,EU-N,358.8727,1.068073511904764
Southampton,62,EU-N,106.8402,0.3179767857142863
Le Havre,63,EU-N,192.9129,0.574145535714287
Zeebrugge,64,EU-N,60.92360000000001,0.1813202380952385
Antwerp,65,EU-N,118.7402,0.3533934523809531
Rotterdam,66,EU-N,71.4496,0.2126476190476194
Amsterdam,67,EU-N,204.4811,0.6085747023809536
Immingham,68,EU-N,138.408,0.4119285714285721
Newcastle,69,EU-N,337.6076,1.004784523809526
Emden,70,EU-N,100.2565,0.2983824404761911
Bremerhaven,71,EU-N,112.2317,0.3340229166666673
Hamburg,72,EU-N,409.8116,1.219677380952383
Gothenburg,73,EU-N,0,0
