from_port,to_port,distance_nm,port_time_days,sailing_time_days,total_arc_time_days
Abu Dhabi,Jebel Ali,56.04290000000004,1.1,0.16679434523809536,1.2667943452380954
Altamira,Abu Dhabi,12323.0,3.218611233333333,33.126344086021504,36.34495531935484
Altamira,Bahrain,12488.0,3.218611233333333,33.56989247311828,36.788503706451614
Altamira,Brunswick,1373.1947,3.218611233333333,3.6913836021505375,6.909994835483871
Altamira,CharlestonSC,1453.8674,3.218611233333333,3.9082456989247314,7.126856932258065
Altamira,Dammam,12520.0,3.218611233333333,33.655913978494624,36.87452521182796
Altamira,FreeportTx,424.9114000000002,3.218611233333333,1.1422349462365597,4.360846179569893
Altamira,Hamad Port,12437.0,3.218611233333333,33.43279569892473,36.65140693225806
Altamira,Jacksonville,1343.7319,3.218611233333333,3.6121825268817203,6.8307937602150535
Altamira,Jebel Ali,12292.0,3.218611233333333,33.043010752688176,36.26162198602151
Altamira,Kuwait,12680.0,3.218611233333333,34.086021505376344,37.30463273870968
Altamira,Kuwait (Shuaiba),12653.0,3.218611233333333,34.013440860215056,37.23205209354839
Altamira,Port Arthur,505.0464000000001,3.218611233333333,1.3576516129032261,4.57626284623656
Altamira,Sohar,12065.0,3.218611233333333,32.43279569892473,35.65140693225806
Altamira,WilmingtonDe,1925.4285,3.218611233333333,5.175883064516129,8.394494297849462
Bahrain,Abu Dhabi,240.4351,1.0,0.7155806547619048,1.7155806547619048
Bahrain,Hamad Port,134.4206,1.0,0.4000613095238095,1.4000613095238095
Bahrain,Jebel Ali,257.5896,1.0,0.7666357142857143,1.7666357142857143
Brunswick,Abu Dhabi,11686.0,0.8338539722222222,31.413978494623656,32.24783246684588
Brunswick,Bahrain,11916.0,0.8338539722222222,32.03225806451613,32.86611203673835
Brunswick,CharlestonSC,145.5814000000001,0.8338539722222222,0.4332779761904765,1.2671319484126986
Brunswick,Dammam,11883.0,0.8338539722222222,31.943548387096776,32.777402359319
Brunswick,Hamad Port,11801.0,0.8338539722222222,31.723118279569892,32.55697225179212
Brunswick,Jebel Ali,11655.0,0.8338539722222222,31.330645161290324,32.16449913351255
Brunswick,Kuwait,12044.0,0.8338539722222222,32.376344086021504,33.210198058243726
Brunswick,Kuwait (Shuaiba),12017.0,0.8338539722222222,32.303763440860216,33.13761741308244
Brunswick,Sohar,11429.0,0.8338539722222222,30.723118279569892,31.556972251792114
Brunswick,WilmingtonDe,677.5844000000002,0.8338539722222222,1.8214634408602155,2.6553174130824377
CharlestonSC,Abu Dhabi,11686.0,2.1163195,31.413978494623656,33.53029799462366
CharlestonSC,Bahrain,11886.0,2.1163195,31.951612903225808,34.06793240322581
CharlestonSC,Dammam,11884.0,2.1163195,31.946236559139784,34.06255605913979
CharlestonSC,Hamad Port,11801.0,2.1163195,31.723118279569892,33.83943777956989
CharlestonSC,Jebel Ali,11655.0,2.1163195,31.330645161290324,33.44696466129032
CharlestonSC,Kuwait,12044.0,2.1163195,32.376344086021504,34.49266358602151
CharlestonSC,Kuwait (Shuaiba),12017.0,2.1163195,32.303763440860216,34.42008294086022
CharlestonSC,Sohar,11429.0,2.1163195,30.723118279569892,32.83943777956989
CharlestonSC,WilmingtonDe,554.213,2.1163195,1.489819892473118,3.6061393924731178
Dammam,Abu Dhabi,283.0,1.888888888888889,0.8422619047619048,2.731150793650794
Dammam,Bahrain,72.57210000000005,1.888888888888889,0.215988392857143,2.104877281746032
Dammam,Hamad Port,168.9462,1.888888888888889,0.5028160714285714,2.3917049603174605
Dammam,Jebel Ali,290.9176000000001,1.888888888888889,0.8658261904761908,2.75471507936508
FreeportTx,Abu Dhabi,12310.0,0.97770825,33.09139784946237,34.06910609946237
FreeportTx,Bahrain,12532.0,0.97770825,33.68817204301075,34.66588029301075
FreeportTx,Brunswick,1260.9879,0.97770825,3.389752419354839,4.367460669354839
FreeportTx,CharlestonSC,1341.6607,0.97770825,3.6066147849462364,4.5843230349462365
FreeportTx,Dammam,12501.0,0.97770825,33.604838709677416,34.582546959677416
FreeportTx,Hamad Port,12426.0,0.97770825,33.403225806451616,34.380934056451615
FreeportTx,Jacksonville,1231.525200000001,0.97770825,3.3105516129032284,4.288259862903228
FreeportTx,Jebel Ali,12280.0,0.97770825,33.01075268817204,33.98846093817204
FreeportTx,Kuwait,12669.0,0.97770825,34.056451612903224,35.03415986290322
FreeportTx,Kuwait (Shuaiba),12642.0,0.97770825,33.983870967741936,34.961579217741935
FreeportTx,Port Arthur,111.6906,0.97770825,0.3324125,1.3101207499999998
FreeportTx,Sohar,12054.0,0.97770825,32.403225806451616,33.380934056451615
FreeportTx,WilmingtonDe,1813.221700000001,0.97770825,4.874251881720433,5.851960131720433
Hamad Port,Abu Dhabi,177.2904,0.28559025,0.5276500000000001,0.81324025
Hamad Port,Jebel Ali,199.5847,0.28559025,0.5940020833333334,0.8795923333333333
Jacksonville,Abu Dhabi,11653.0,1.470097311494253,31.3252688172043,32.795366128698554
Jacksonville,Bahrain,11909.0,1.470097311494253,32.013440860215056,33.483538171709306
Jacksonville,Brunswick,78.5367,1.470097311494253,0.23374017857142856,1.7038374900656816
Jacksonville,CharlestonSC,190.8083,1.470097311494253,0.5678818452380953,2.0379791567323484
Jacksonville,Dammam,11844.0,1.470097311494253,31.838709677419356,33.30880698891361
Jacksonville,Hamad Port,11759.0,1.470097311494253,31.61021505376344,33.08031236525769
Jacksonville,Jebel Ali,11626.0,1.470097311494253,31.252688172043012,32.722785483537265
Jacksonville,Kuwait,12014.0,1.470097311494253,32.295698924731184,33.765796236225434
Jacksonville,Kuwait (Shuaiba),11987.0,1.470097311494253,32.223118279569896,33.693215591064146
Jacksonville,Sohar,11399.0,1.470097311494253,30.642473118279568,32.11257042977382
Jacksonville,WilmingtonDe,717.1022,1.470097311494253,1.9276940860215055,3.3977913975157588
Kuwait,Abu Dhabi,458.4604,0.5332798461538462,1.2324204301075268,1.765700276261373
Kuwait,Bahrain,265.2762,0.5332798461538462,0.7895125000000001,1.3227923461538462
Kuwait,Dammam,227.8107,0.5332798461538462,0.6780080357142857,1.2112878818681319
Kuwait,Hamad Port,359.8093,0.5332798461538462,1.070861011904762,1.604140858058608
Kuwait,Jebel Ali,467.4519000000001,0.5332798461538462,1.2565911290322582,1.7898709751861044
Kuwait,Kuwait (Shuaiba),39.375,0.5332798461538462,0.1171875,0.6504673461538462
Kuwait (Shuaiba),Abu Dhabi,435.5711000000002,0.9490276666666668,1.1708900537634412,2.119917720430108
Kuwait (Shuaiba),Bahrain,240.4459,0.9490276666666668,0.7156127976190476,1.6646404642857144
Kuwait (Shuaiba),Dammam,203.4891000000001,0.9490276666666668,0.6056223214285718,1.5546499880952385
Kuwait (Shuaiba),Hamad Port,335.4855,0.9490276666666668,0.99846875,1.9474964166666668
Kuwait (Shuaiba),Jebel Ali,443.9573,0.9490276666666668,1.1934336021505376,2.1424612688172044
Port Arthur,Abu Dhabi,12257.0,1.0,32.94892473118279,33.94892473118279
Port Arthur,Bahrain,12491.0,1.0,33.57795698924731,34.57795698924731
Port Arthur,Brunswick,1219.4855,1.0,3.2781868279569895,4.27818682795699
Port Arthur,CharlestonSC,1300.1583,1.0,3.4950491935483874,4.495049193548388
Port Arthur,Dammam,12448.0,1.0,33.46236559139785,34.46236559139785
Port Arthur,Hamad Port,12364.0,1.0,33.236559139784944,34.236559139784944
Port Arthur,Jacksonville,1190.0227,1.0,3.198985752688172,4.198985752688172
Port Arthur,Jebel Ali,12214.0,1.0,32.833333333333336,33.833333333333336
Port Arthur,Kuwait,12615.0,1.0,33.91129032258065,34.91129032258065
Port Arthur,Kuwait (Shuaiba),12586.0,1.0,33.833333333333336,34.833333333333336
Port Arthur,Sohar,12001.0,1.0,32.26075268817204,33.26075268817204
Port Arthur,WilmingtonDe,1771.719300000001,1.0,4.762686290322583,5.762686290322583
Sohar,Abu Dhabi,297.6051000000001,0.6229166428571429,0.8857294642857146,1.5086461071428574
Sohar,Bahrain,447.9346,0.6229166428571429,1.2041252688172042,1.827041911674347
Sohar,Dammam,475.648,0.6229166428571429,1.2786236559139785,1.9015402987711214
Sohar,Hamad Port,412.7096,0.6229166428571429,1.1094344086021506,1.7323510514592935
Sohar,Jebel Ali,253.7584,0.6229166428571429,0.7552333333333333,1.378149976190476
Sohar,Kuwait,636.8018,0.6229166428571429,1.7118327956989245,2.3347494385560674
Sohar,Kuwait (Shuaiba),612.6489000000001,0.6229166428571429,1.6469056451612907,2.2698222880184336
Veracruz,Abu Dhabi,12256.0,2.298287,32.946236559139784,35.244523559139786
Veracruz,Altamira,235.3011000000001,2.298287,0.7003008928571431,2.9985878928571434
Veracruz,Bahrain,12496.0,2.298287,33.59139784946237,35.88968484946237
Veracruz,Brunswick,1337.3213,2.298287,3.594949731182796,5.893236731182796
Veracruz,CharlestonSC,1417.9941,2.298287,3.8118120967741933,6.110099096774194
Veracruz,Dammam,12447.0,2.298287,33.45967741935484,35.75796441935484
Veracruz,FreeportTx,591.4595000000003,2.298287,1.589944892473119,3.888231892473119
Veracruz,Hamad Port,12362.0,2.298287,33.23118279569893,35.52946979569893
Veracruz,Jacksonville,1307.8586,2.298287,3.515748924731183,5.814035924731183
Veracruz,Jebel Ali,12213.0,2.298287,32.83064516129032,35.12893216129032
Veracruz,Kuwait,12614.0,2.298287,33.90860215053763,36.206889150537634
Veracruz,Kuwait (Shuaiba),12584.0,2.298287,33.82795698924731,36.126243989247314
Veracruz,Port Arthur,655.4065,2.298287,1.761845430107527,4.060132430107528
Veracruz,Sohar,11994.0,2.298287,32.24193548387097,34.54022248387097
Veracruz,WilmingtonDe,1889.5551,2.298287,5.079449193548387,7.377736193548388
WilmingtonDe,Abu Dhabi,11664.0,1.9897916,31.35483870967742,33.34463030967742
WilmingtonDe,Bahrain,11900.0,1.9897916,31.989247311827956,33.979038911827956
WilmingtonDe,Dammam,11855.0,1.9897916,31.868279569892472,33.85807116989247
WilmingtonDe,Hamad Port,11770.0,1.9897916,31.63978494623656,33.62957654623656
WilmingtonDe,Jebel Ali,11620.0,1.9897916,31.236559139784948,33.22635073978495
WilmingtonDe,Kuwait,12021.0,1.9897916,32.314516129032256,34.30430772903225
WilmingtonDe,Kuwait (Shuaiba),11992.0,1.9897916,32.236559139784944,34.22635073978494
WilmingtonDe,Sohar,11401.0,1.9897916,30.647849462365592,32.63764106236559
