Port,Area,Sub-area,🟢 Call duration [days],🟢 Port delays [days],Total port time[days],Port type,In EU,Waypoint,Area point,Connection point,Longitude,Latitude
Abu Dhabi,MI,ME,1,0.1,1.1,Cargo Ops,N,0,0,0,54.386198,24.525814
Adelaide,OC,N-E,1,0,1,Cargo Ops,N,0,0,0,138.48,-34.776667
Alexandria,EU,MD,1,0,1,Cargo Ops,N,0,0,0,29.826667,31.151667
Algeciras,EU,MD,1,0,1,Cargo Ops,Y,0,0,0,-5.433333,36.133333
Altamira,US,CA,0.8852779,2.333333333333333,3.218611233333333,Cargo Ops,N,0,0,0,-97.8875,22.48
Amsterdam,EU,EU-N,0.9571296,0,0.9571296,Cargo Ops,Y,0,0,0,4.876667,52.405
Antwerp,EU,EU-N,1.24878471875,0.2058823529411764,1.454667071691177,Cargo Ops,Y,0,0,0,4.226072,51.266159
Aqaba,MI,ME,0.374306,0,0.374306,Cargo Ops,N,0,0,0,34.998666,29.517587
Ashdod,EU,MD,1,0,1,Cargo Ops,N,0,0,0,34.638333,31.858333
Auckland,OC,N-E,0.6852623333333333,0.1428571428571428,0.8281194761904762,Cargo Ops,N,0,0,0,174.767696,-36.838998
Bahrain,MI,ME,1,0,1,Cargo Ops,N,0,0,0,50.708744,26.186069
Baltimore,US,US-E,1.083256259259259,0.05555555555555555,1.138811814814815,Cargo Ops,N,0,0,0,-76.532476,39.256733
Barcelona,EU,MD,0.78038175,0,0.78038175,Cargo Ops,Y,0,0,0,2.145978,41.333265
Basseterre,CA,CA,0.290972,0,0.290972,Cargo Ops,N,0,0,0,-62.716741,17.283454
Beaumont,US,US-E,1,0,1,Cargo Ops,N,0,0,0,-94.083333,30.076667
Beirut,EU,MD,1,0,1,Cargo Ops,N,0,0,0,35.532239,33.904535
Borusan - Gemlik,EU,MD,1,0,1,Cargo Ops,N,0,0,0,29.091145,40.4125
Bremerhaven,EU,EU-N,1.371805566666667,0.03225806451612903,1.404063631182796,Cargo Ops,Y,0,0,0,8.546667,53.563333
Bridgetown,CA,CA,0.65468725,0,0.65468725,Cargo Ops,N,0,0,0,-59.633889,13.126389
Brisbane,OC,N-E,0.8649691111111111,2,2.864969111111111,Cargo Ops,N,0,0,0,153.166667,-27.375
Bristol,EU,EU-N,1,0.125,1.125,Cargo Ops,N,0,0,0,-2.620833,51.448333
Brunswick,US,US-E,0.61163175,0.2222222222222222,0.8338539722222222,Cargo Ops,N,0,0,0,-81.535558,31.132794
Cape of Good Hope,AF,AF-S,0,0,0,Routing Point,N,0,0,0,18.28,-34.21
Cartagena (Colombia),CA,CA,1,0.08333333333333333,1.083333333333333,Cargo Ops,N,0,0,0,-75.535,10.401667
Casablanca,EU,MD,1,0,1,Cargo Ops,N,0,0,0,-7.596667,33.613333
Castries (St. Lucia),CA,CA,0.7775463333333332,0.5,1.277546333333333,Cargo Ops,N,0,0,0,-61.017683,13.987183
CharlestonSC,US,US-E,1.1163195,1,2.1163195,Cargo Ops,N,0,0,0,-79.924793,32.795969
Corpus Christi,US,US-E,2.012731666666667,0.6666666666666666,2.679398333333333,Cargo Ops,N,0,0,0,-97.403333,27.813333
Dakar,AF,AF-W,1,0,1,Cargo Ops,N,0,0,0,-17.425,14.68
Dammam,MI,ME,1,0.8888888888888888,1.888888888888889,Cargo Ops,N,0,0,0,50.2,26.516667
Dar es Salaam,AF,AF-E,0.6408334,1.25,1.8908334,Cargo Ops,N,0,0,0,39.299833,-6.842983
Davisville,US,US-E,1,0,1,Cargo Ops,N,0,0,0,-71.24,41.36
Degrad des Cannes,CA,CA,1.0663195,0,1.0663195,Cargo Ops,N,0,0,0,-52.274396,4.853393
Djen-Djen,EU,MD,1,0,1,Cargo Ops,N,0,0,0,5.883444,36.816792
Djibouti,AF,ME,1,0,1,Cargo Ops,N,0,0,0,43.131667,11.61
Durban,AF,AF-S,1.124786230769231,0.8571428571428571,1.981929087912088,Cargo Ops,N,0,0,0,31.030411,-29.871996
Emden,EU,EU-N,1.135243,0.6666666666666666,1.801909666666667,Cargo Ops,Y,0,0,0,7.178333,53.333333
Ennore,MI,IN,0.70703125,0.5714285714285714,1.278459821428571,Cargo Ops,N,0,0,0,80.341667,13.261667
Fort de France,US,CA,0.6803241666666666,0,0.6803241666666666,Cargo Ops,N,0,0,0,-61.060393,14.599056
FreeportTx,US,US-E,0.77770825,0.2,0.9777082500000001,Cargo Ops,N,0,0,0,-95.33569,28.9594
Fremantle,OC,N-W,1,2,3,Cargo Ops,N,0,0,0,115.745,-32.046667
Fujairah,MI,ME,1,0,1,Cargo Ops,N,0,0,0,56.361667,25.18
Gamagori,FE,FE,0.6595237142857143,0,0.6595237142857143,Cargo Ops,N,0,0,0,137.22,34.81
Georgetown (Guy),US,SA,1.273611222222222,0,1.273611222222222,Cargo Ops,N,0,0,0,-58.171667,6.813333
Gibraltar,EU,MD,1,0,1,Cargo Ops,Y,0,0,0,-5.365,36.135
Gioia Tauro,EU,MD,1,0,1,Cargo Ops,Y,0,0,0,15.898333,38.441667
Gothenburg,EU,EU-N,0.7290970999999999,0.1,0.8290971,Cargo Ops,Y,0,0,0,11.931667,57.701667
Habana,US,CA,1,0,1,Cargo Ops,N,0,0,0,-82.342547,23.118993
Halifax,US,US-E,1,0,1,Cargo Ops,N,0,0,0,-63.5923,44.6509
Hamad Port,MI,ME,0.28559025,0,0.28559025,Cargo Ops,N,0,0,0,51.597136,25.005145
Hambantota,MI,IN,0.9694445,0,0.9694445,Cargo Ops,N,0,0,0,81.249444,6.210833
Hamburg,EU,EU-N,0.3814813333333333,0,0.3814813333333333,Cargo Ops,Y,0,0,0,9.931667,53.541667
Hiroshima,FE,FE,1,0.2,1.2,Cargo Ops,N,0,0,0,132.488333,34.351667
Hitachi,FE,FE,1,0,1,Cargo Ops,N,0,0,0,140.625883,36.487367
Hitachinaka,FE,FE,0.6418054,0.1818181818181818,0.8236235818181817,Cargo Ops,N,0,0,0,140.616741,36.41681
Hong Kong,FE,SEA,1,0,1,Cargo Ops,N,0,0,0,114.168333,22.29
Honolulu,US,US-W,1,0,1,Cargo Ops,N,0,0,0,-157.875,21.310833
Immingham,EU,EU-N,1,0,1,Cargo Ops,N,0,0,0,-0.1825,53.635833
Incheon,FE,FE,1,0.2,1.2,Cargo Ops,N,0,0,0,126.6,37.505
Jacksonville,US,US-E,1.090786966666667,0.3793103448275862,1.470097311494253,Cargo Ops,N,0,0,0,-81.540044,30.402108
Jebel Ali,MI,ME,1.431448380952381,0.3,1.731448380952381,Cargo Ops,N,0,0,0,55.055,24.991667
Jeddah,MI,ME,1.5,0,1.5,Cargo Ops,N,0,0,0,39.155,21.464167
Kanda,FE,FE,1,0,1,Cargo Ops,N,0,0,0,131.005833,33.778333
Kawasaki,FE,FE,1,0,1,Cargo Ops,N,0,0,0,139.75,35.503333
Kingston (Jam),CA,CA,1.264087238095238,0.2075471698113208,1.471634407906559,Cargo Ops,N,0,0,0,-76.825833,17.975833
Kingstown,CA,CA,0.40347225,0,0.40347225,Cargo Ops,N,0,0,0,-61.226667,13.15
Kobe,FE,FE,0.6098958,0.09523809523809525,0.7051338952380952,Cargo Ops,N,0,0,0,135.245,34.68
Kuwait,MI,ME,0.4707798461538462,0.0625,0.5332798461538462,Cargo Ops,N,0,0,0,47.931667,29.351667
Kuwait (Shuaiba),MI,ME,0.782361,0.1666666666666667,0.9490276666666667,Cargo Ops,N,0,0,0,48.160833,29.045
Laem Chabang,FE,SEA,0.7305555,0,0.7305555,Cargo Ops,N,0,0,0,100.88,13.0625
Lagos,AF,AF-W,1,0,1,Cargo Ops,N,0,0,0,3.4,6.433333
Larnaca,EU,MD,1,0,1,Cargo Ops,Y,0,0,0,33.643331,34.926606
Lazaro Cardenas,US,CA,0.776042,0,0.776042,Cargo Ops,N,0,0,0,-102.178733,17.933167
Le Havre,EU,EU-N,1.15683328,0.1818181818181818,1.338651461818182,Cargo Ops,Y,0,0,0,0.16,49.471667
Lian Yun Gang,FE,FE,0.5995141,0.8000000000000002,1.3995141,Cargo Ops,N,0,0,0,119.45,34.75
Livorno,EU,MD,1.19097225,0.25,1.44097225,Cargo Ops,Y,0,0,0,10.291667,43.554167
