Port,Sequence,Sub-area,Sailing [nm],Sailing [day]
Gothenburg,1,EU-N,409.8116,1.219677380952383
Hamburg,2,EU-N,112.2317,0.3340229166666673
Bremerhaven,3,EU-N,100.2565,0.2983824404761911
Emden,4,EU-N,337.6076,1.004784523809526
Newcastle,5,EU-N,138.408,0.4119285714285721
Immingham,6,EU-N,204.4811,0.6085747023809536
Amsterdam,7,EU-N,71.4496,0.2126476190476194
Rotterdam,8,EU-N,118.7402,0.3533934523809531
Antwerp,9,EU-N,60.92360000000001,0.1813202380952385
Zeebrugge,10,EU-N,192.9129,0.574145535714287
Le Havre,11,EU-N,106.8402,0.3179767857142863
Southampton,12,EU-N,358.8727,1.068073511904764
Bristol,13,EU-N,567.2271,1.688175892857146
Santander,14,EU-N,386.2322,1.149500595238097
Vigo,15,EU-N,5438,14.6182795698925
Cape of Good Hope,16,AF-S,313,0.931547619047621
Port Elizabeth,17,AF-S,386.7749,1.151115773809526
Durban,18,AF-S,339.1619000000001,1.009410416666669
Maputo,19,AF-E,1341.047,3.604965053763447
Port Reunion,20,AF-E,135.8781,0.404399107142858
Port Louis,21,AF-E,501.385,1.492217261904765
Tamatave,22,AF-E,680.8956000000001,1.830364516129036
Longoni (Dzaoudzi),23,AF-E,525.7939000000001,1.564862797619051
Dar es Salaam,24,AF-E,180.4458,0.5370410714285724
Mombasa,25,AF-E,1796.39,4.829005376344095
Salalah,26,AG,746.5202000000002,2.0067747311828
Sohar,27,AG,48.8664,0.1454357142857146
Fujairah,28,AG,602.8133,1.620465860215057
Kuwait,29,AG,39.375,0.1171875000000002
Kuwait (Shuaiba),30,AG,203.4891,0.6056223214285726
Dammam,31,AG,72.57210000000002,0.2159883928571433
Bahrain,32,AG,134.4206,0.4000613095238104
Hamad Port,33,AG,177.2904,0.5276500000000011
Abu Dhabi,34,AG,56.04290000000001,0.1667943452380956
Jebel Ali,35,AG,41.8531,0.1245627976190479
Sharjah,36,AG,1017.7644,2.735925806451618
Pipavav (Victor) Port,37,IN,143.6242,0.427452976190477
Mumbai,38,IN,995.665,2.676518817204306
Hambantota,39,IN,473.8064,1.410138095238098
Ennore,40,IN,0,0
