Port,Sequence,Sub-area,Sailing [nm],Sailing [day]
Laem Chabang,1,SEA,797.4695,2.143735215053767
Singapore,2,SEA,1326.4841,3.565817473118286
Manila,3,SEA,636.7762000000001,1.711763978494627
Hong Kong,4,SEA,387.2507,1.152531845238097
Taichung,5,FE,369.0608,1.09839523809524
Zhoushan,6,FE,28.9786,0.08624583333333351
Ningbo,7,FE,219.2238,0.6524517857142871
Shanghai,8,FE,40.69240000000001,0.1211083333333336
Taicang,9,FE,372.9956,1.110105952380955
Lian Yun Gang,10,FE,100.6363,0.2995127976190483
Qingdao,11,FE,430.2202,1.280417261904764
Tianjinxingang,12,FE,453.9748000000001,1.351115476190479
Incheon,13,FE,395.2234000000001,1.176260119047622
Masan,14,FE,44.15740000000001,0.1314208333333336
Pusan,15,FE,120.7627,0.3594127976190483
Shimonoseki,16,FE,17.6331,0.05247946428571439
Kanda,17,FE,108.3393,0.3224383928571435
Hiroshima,18,FE,102,0.3035714285714292
Mizushima,19,FE,85,0.252976190476191
Kobe,20,FE,14.6273,0.04353363095238104
Sakaisenboku,21,FE,234.1098,0.6967553571428585
Yokkaichi,22,FE,15.9127,0.04735922619047628
Nagoya,23,FE,50.58630000000001,0.1505544642857146
Toyohashi,24,FE,13.2578,0.03945773809523817
Gamagori,25,FE,93.1786,0.2773172619047625
Omaezaki,26,FE,113.8417,0.338814583333334
Kawasaki,27,FE,12.8054,0.0381113095238096
Yokohama,28,FE,163.0122,0.4851553571428581
Hitachinaka,29,FE,26.2851,0.07822946428571444
Hitachi,30,FE,5666.6813,15.23301424731185
Mazatlan,31,CA,462.4073000000001,1.376212202380955
Lazaro Cardenas,32,CA,1583.6837,4.257214247311835
Panama Canal,33,CA,37.2311,0.1108068452380954
Manzanillo (Pan),34,CA,280.1112,0.8336642857142874
Cartagena (Colombia),35,CA,131.2082,0.390500595238096
Santa Marta,36,CA,272.9745,0.8124241071428587
Oranjestad,37,CA,75.73650000000002,0.2254062500000005
Willemstad,38,CA,427.5331,1.272419940476193
St. George's,39,CA,109.223,0.325068452380953
Port of Spain,40,CA,535.285,1.593110119047622
Paramaribo,41,CA,234.7123,0.6985485119047632
Degrad des Cannes,42,CA,692.8404000000002,1.862474193548391
Bridgetown,43,CA,106.0691,0.3156818452380958
Kingstown,44,CA,67.7305,0.2015788690476195
Castries (St. Lucia),45,CA,44.05650000000001,0.131120535714286
Fort de France,46,CA,60.8982,0.1812446428571432
Roseau,47,CA,67.7808,0.2017285714285718
Pointe à Pitre,48,CA,114.3004,0.3401797619047626
St John's (Ant),49,CA,67.7354,0.2015934523809528
Basseterre,50,CA,58.67260000000001,0.1746208333333337
Philipsburg,51,CA,97.7403,0.2908937500000006
Road Town,52,CA,100.4272,0.2988904761904768
San Juan (Pue),53,CA,232.7096,0.6925880952380966
Santo Domingo,54,CA,16.2237,0.04828482142857152
Rio Haina,55,CA,420.9136,1.25271904761905
Kingston (Jam),56,CA,280.0446,0.833466071428573
Port-au-Prince,57,CA,579.8675,1.725796130952384
Nassau,58,CA,380.1759,1.131475892857145
Habana,59,CA,625.723,1.68205107526882
Puerto Santo Tomas de Castilla,60,CA,967.0455,2.599584677419359
Veracruz,61,CA,235.3011,0.7003008928571443
Altamira,62,CA,356.5717000000001,1.06122529761905
Corpus Christi,63,US-E,144.4704,0.4299714285714295
FreeportTx,64,US-E,111.6906,0.3324125000000007
Port Arthur,65,US-E,23.2548,0.06921071428571443
Beaumont,66,US-E,419.5053,1.248527678571431
Mobile,67,US-E,706.3202000000001,1.898710215053767
Port Everglades,68,US-E,298.5109,0.8884252976190494
Jacksonville,69,US-E,78.5367,0.233740178571429
Brunswick,70,US-E,93.72990000000001,0.2789580357142863
Savannah,71,US-E,94.69800000000001,0.2818392857142863
CharlestonSC,72,US-E,411.1763,1.223738988095241
Newport News,73,US-E,150.8413,0.4489324404761913
Sparrows Point,74,US-E,9.3173,0.02773005952380958
Baltimore,75,US-E,72.4382,0.2155898809523814
WilmingtonDe,76,US-E,194.4591,0.5787473214285725
New York,77,US-E,0,0
