Port,Sequence,Sub-area,Sailing [nm],Sailing [day]
Kuwait,1,AG,39.375,0.1171875000000002
Kuwait (Shuaiba),2,AG,203.4891,0.6056223214285726
Dammam,3,AG,72.57210000000002,0.2159883928571433
Bahrain,4,AG,134.4206,0.4000613095238104
Hamad Port,5,AG,177.2904,0.5276500000000011
Abu Dhabi,6,AG,56.04290000000001,0.1667943452380956
Jebel Ali,7,AG,41.8531,0.1245627976190479
Sharjah,8,AG,190.1659,0.5659699404761915
Fujairah,9,AG,48.8664,0.1454357142857146
Sohar,10,AG,746.5202000000002,2.0067747311828
Salalah,11,AG,1031.5474,2.772976881720435
Pipavav (Victor) Port,12,IN,143.6242,0.427452976190477
Mumbai,13,IN,995.665,2.676518817204306
Hambantota,14,IN,473.8064,1.410138095238098
Ennore,15,IN,2569.749,6.907927419354851
Port Louis,16,AF-E,135.8781,0.404399107142858
Port Reunion,17,AF-E,406.2509,1.209080059523812
Tamatave,18,AF-E,680.8956000000001,1.830364516129036
Longoni (Dzaoudzi),19,AF-E,628.2009000000002,1.688712096774197
Mombasa,20,AF-E,180.4458,0.5370410714285724
Dar es Salaam,21,AF-E,1367.6905,3.676587365591404
Maputo,22,AF-E,339.1619000000001,1.009410416666669
Durban,23,AF-S,386.7749,1.151115773809526
Port Elizabeth,24,AF-S,313,0.931547619047621
Cape of Good Hope,25,AF-S,1737,4.669354838709686
Luanda,26,AF-W,1169.9692,3.145078494623662
Tema,27,AF-W,1402.1262,3.76915645161291
Dakar,28,AF-W,2144.288,5.764215053763452
Degrad des Cannes,29,CA,234.7123,0.6985485119047632
Paramaribo,30,CA,535.285,1.593110119047622
Port of Spain,31,CA,109.223,0.325068452380953
St. George's,32,CA,83.247,0.247758928571429
Kingstown,33,CA,106.0691,0.3156818452380958
Bridgetown,34,CA,130.3062,0.3878160714285722
Castries (St. Lucia),35,CA,44.05650000000001,0.131120535714286
Fort de France,36,CA,60.8982,0.1812446428571432
Roseau,37,CA,67.7808,0.2017285714285718
Pointe à Pitre,38,CA,114.3004,0.3401797619047626
St John's (Ant),39,CA,67.7354,0.2015934523809528
Basseterre,40,CA,58.67260000000001,0.1746208333333337
Philipsburg,41,CA,97.7403,0.2908937500000006
Road Town,42,CA,100.4272,0.2988904761904768
San Juan (Pue),43,CA,232.7096,0.6925880952380966
Santo Domingo,44,CA,16.2237,0.04828482142857152
Rio Haina,45,CA,394.2533000000001,1.173372916666669
Willemstad,46,CA,75.73650000000002,0.2254062500000005
Oranjestad,47,CA,272.9745,0.8124241071428587
Santa Marta,48,CA,131.2082,0.390500595238096
Cartagena (Colombia),49,CA,2329.2137,6.261327150537644
Mazatlan,50,CA,462.4073000000001,1.376212202380955
Lazaro Cardenas,51,CA,1583.6837,4.257214247311835
Panama Canal,52,CA,37.2311,0.1108068452380954
Manzanillo (Pan),53,CA,548.0755000000001,1.631177083333337
Kingston (Jam),54,CA,280.0446,0.833466071428573
Port-au-Prince,55,CA,579.8675,1.725796130952384
Nassau,56,CA,380.1759,1.131475892857145
Habana,57,CA,625.723,1.68205107526882
Puerto Santo Tomas de Castilla,58,CA,967.0455,2.599584677419359
Veracruz,59,CA,235.3011,0.7003008928571443
Altamira,60,CA,356.5717000000001,1.06122529761905
Corpus Christi,61,US-E,144.4704,0.4299714285714295
FreeportTx,62,US-E,134.9454,0.4016232142857151
Beaumont,63,US-E,23.2548,0.06921071428571443
Port Arthur,64,US-E,396.2505,1.179316964285717
Mobile,65,US-E,706.3202000000001,1.898710215053767
Port Everglades,66,US-E,298.5109,0.8884252976190494
Jacksonville,67,US-E,78.5367,0.233740178571429
Brunswick,68,US-E,93.72990000000001,0.2789580357142863
Savannah,69,US-E,94.69800000000001,0.2818392857142863
CharlestonSC,70,US-E,411.1763,1.223738988095241
Newport News,71,US-E,150.8413,0.4489324404761913
Sparrows Point,72,US-E,9.3173,0.02773005952380958
Baltimore,73,US-E,72.4382,0.2155898809523814
WilmingtonDe,74,US-E,194.4591,0.5787473214285725
New York,75,US-E,0,0
