Port,Sequence,Sub-area,Sailing [nm],Sailing [day]
Mazatlan,1,CA,462.4073000000001,1.376212202380955
Lazaro Cardenas,2,CA,1583.6837,4.257214247311835
Panama Canal,3,CA,37.2311,0.1108068452380954
Manzanillo (Pan),4,CA,280.1112,0.8336642857142874
Cartagena (Colombia),5,CA,131.2082,0.390500595238096
Santa Marta,6,CA,272.9745,0.8124241071428587
Oranjestad,7,CA,75.73650000000002,0.2254062500000005
Willemstad,8,CA,427.5331,1.272419940476193
St. George's,9,CA,109.223,0.325068452380953
Port of Spain,10,CA,535.285,1.593110119047622
Paramaribo,11,CA,234.7123,0.6985485119047632
Degrad des Cannes,12,CA,692.8404000000002,1.862474193548391
Bridgetown,13,CA,106.0691,0.3156818452380958
Kingstown,14,CA,67.7305,0.2015788690476195
Castries (St. Lucia),15,CA,44.05650000000001,0.131120535714286
Fort de France,16,CA,60.8982,0.1812446428571432
Roseau,17,CA,67.7808,0.2017285714285718
Pointe à Pitre,18,CA,114.3004,0.3401797619047626
St John's (Ant),19,CA,67.7354,0.2015934523809528
Basseterre,20,CA,58.67260000000001,0.1746208333333337
Philipsburg,21,CA,97.7403,0.2908937500000006
Road Town,22,CA,100.4272,0.2988904761904768
San Juan (Pue),23,CA,232.7096,0.6925880952380966
Santo Domingo,24,CA,16.2237,0.04828482142857152
Rio Haina,25,CA,420.9136,1.25271904761905
Kingston (Jam),26,CA,280.0446,0.833466071428573
Port-au-Prince,27,CA,579.8675,1.725796130952384
Nassau,28,CA,380.1759,1.131475892857145
Habana,29,CA,625.723,1.68205107526882
Puerto Santo Tomas de Castilla,30,CA,967.0455,2.599584677419359
Veracruz,31,CA,235.3011,0.7003008928571443
Altamira,32,CA,356.5717000000001,1.06122529761905
Corpus Christi,33,US-E,144.4704,0.4299714285714295
FreeportTx,34,US-E,134.9454,0.4016232142857151
Beaumont,35,US-E,23.2548,0.06921071428571443
Port Arthur,36,US-E,396.2505,1.179316964285717
Mobile,37,US-E,706.3202000000001,1.898710215053767
Port Everglades,38,US-E,298.5109,0.8884252976190494
Jacksonville,39,US-E,78.5367,0.233740178571429
Brunswick,40,US-E,93.72990000000001,0.2789580357142863
Savannah,41,US-E,94.69800000000001,0.2818392857142863
CharlestonSC,42,US-E,411.1763,1.223738988095241
Newport News,43,US-E,150.8413,0.4489324404761913
Sparrows Point,44,US-E,9.3173,0.02773005952380958
Baltimore,45,US-E,72.4382,0.2155898809523814
WilmingtonDe,46,US-E,194.4591,0.5787473214285725
New York,47,US-E,6895,18.53494623655917
Cape of Good Hope,48,AF-S,313,0.931547619047621
Port Elizabeth,49,AF-S,386.7749,1.151115773809526
Durban,50,AF-S,3216.7568,8.647195698924747
Salalah,51,AG,746.5202000000002,2.0067747311828
Sohar,52,AG,48.8664,0.1454357142857146
Fujairah,53,AG,602.8133,1.620465860215057
Kuwait,54,AG,39.375,0.1171875000000002
Kuwait (Shuaiba),55,AG,203.4891,0.6056223214285726
Dammam,56,AG,72.57210000000002,0.2159883928571433
Bahrain,57,AG,134.4206,0.4000613095238104
Hamad Port,58,AG,177.2904,0.5276500000000011
Abu Dhabi,59,AG,56.04290000000001,0.1667943452380956
Jebel Ali,60,AG,41.8531,0.1245627976190479
Sharjah,61,AG,1017.7644,2.735925806451618
Pipavav (Victor) Port,62,IN,143.6242,0.427452976190477
Mumbai,63,IN,995.665,2.676518817204306
Hambantota,64,IN,473.8064,1.410138095238098
Ennore,65,IN,0,0
